68.0, 1.0, 5.0, 6.0, 66620.0, 2121.0, GR_0;
81.0, 2.0, 5.0, 2.0, 5864.0, 1830.0, GR_0;
45.0, 2.0, 5.0, 2.0, 22986.0, 2189.0, GR_0;
59.0, 1.0, 5.0, 7.0, 68730.0, 185.0, GR_0;
68.0, 1.0, 5.0, 7.0, 69736.0, 1890.0, GR_0;
72.0, 1.0, 5.0, 1.0, 40824.0, 1602.0, GR_0;
84.0, 1.0, 5.0, 7.0, 40217.0, 1538.0, GR_0;
57.0, 2.0, 5.0, 11.0, 131062.0, 1578.0, GR_0;
61.0, 1.0, 5.0, 3.0, 13133.0, 1540.0, GR_0;
68.0, 2.0, 5.0, 16.0, 109302.0, 20280.0, GR_0;
68.0, 2.0, 5.0, 3.0, 17727.0, 20280.0, GR_0;
75.0, 2.0, 1.0, 10.0, 52309.0, 20890.0, GR_0;
83.0, 1.0, 5.0, 5.0, 25335.0, 1623.0, GR_0;
81.0, 2.0, 5.0, 3.0, 23659.0, 1830.0, GR_0;
81.0, 2.0, 5.0, 7.0, 51753.0, 1830.0, GR_0;
30.0, 2.0, 5.0, 2.0, 20647.0, 1748.0, GR_0;
44.0, 2.0, 5.0, 1.0, 17610.0, 2189.0, GR_0;
46.0, 1.0, 5.0, 32.0, 180941.0, 20300.0, GR_0;
85.0, 2.0, 5.0, 10.0, 53387.0, 20280.0, GR_0;
31.0, 2.0, 5.0, 3.0, 28328.0, 2331.0, GR_0;
60.0, 1.0, 5.0, 5.0, 56568.0, 185.0, GR_0;
69.0, 1.0, 5.0, 4.0, 29052.0, 1531.0, GR_0;
29.0, 2.0, 1.0, 3.0, 38796.0, 220.0, GR_0;
64.0, 1.0, 1.0, 4.0, 18611.0, 1510.0, GR_0;
65.0, 2.0, 1.0, 7.0, 17789.0, 1985.0, GR_0;
63.0, 1.0, 2.0, 6.0, 28919.0, 1534.0, GR_0;
17.0, 2.0, 1.0, 1.0, 10344.0, 220.0, GR_0;
42.0, 1.0, 1.0, 4.0, 16054.0, 1977.0, GR_0;
42.0, 1.0, 1.0, 1.0, 5500.0, 1977.0, GR_0;
42.0, 1.0, 1.0, 11.0, 44053.0, 1977.0, GR_0;
